file_path,label,text,clean_text,predicted_label
D:\OCR\docs-sm\invoice\0000137486.jpg,invoice,"Cc CRG International Inc.

WETCHUN HACLEOD & GROVE PUGLIC FEL.
a ous 3 GATEWAY CENTER
“PITTSBURGH, Phe 15222

BROWN & WILLIAMSON TosaccU CORP. MATL, REMITTANCE To *
P.O. Gox 35090 KOM GG INTERNATIONAL IHC.
160g wEST HELL sTRcET @ GATEWAY CENTER
LourSWItLEs ¥Y a0Z32 PITTSBURGH, PAL 15222
ATTN MRe BRADLEY L, BROgC! ATTN. TREASURY DEPARTHENT
WANAGER MARKETING ACTIVITIES DUNS NO. 00-791-5937
bats SF8s poses 99/82 ax 10703761
BELAIR
Py Re StRYECES ae at 14672628 1,671425
TELE-LONG DISTANCE ne2181 32.27 31.27
TOTALS Le7G2—52 2,702052
AGENCY ‘COMM sae
sor TOTALS 1,702.52 4,722,582
f=]
=)
g
i
@

|, PRODUCTION INVOICE-TRIMICATE :",cc crg international inc wetchun hacleod grove puglic fel ous gateway center pittsburgh phe brown williamson tosaccu corp matl remittance p gox kom gg international ihc g west hell strcet gateway center lourswitles az pittsburgh pal attn mre bradley l brogc attn treasury departhent wanager marketing activities duns bats sfs poses ax belair py stryeces ae tele long distance ne totals leg agency comm sae sor totals f g production invoice trimicate,invoice
D:\OCR\docs-sm\invoice\0000192502.jpg,invoice,"FROM:

DATE:

DEVELOPMENT CENTER WORK REQUEST

Judy Kremer .

we
a.

Berry
Pittman

Hawkins
Esterle
‘Aulbach
Woertz,

G. D. Raphael
J. Judd
0. A. Sponsler
Jee V. Hansberry (Acc'tg)

Montgomery

F. Wilhelm/for

SHIPMENT OF CIGARETTES FOR UNIDENTIFIED PRODUCT TEST
INTERNATIONAL PROJECT #1964-29 (JAPAN)

Please prepare the necessary billing to ship on October 9, 1984 _ the following
84nm cigarettes which are in the Sample Storage Room.

Pack
Code No. No. of Cartons Description Bottom Code
275 85
293 ra LSF Charcoal 184290
295 8s
23 a Lark Milds KS 184290
Total 340 Cartons.
NOTE:

The names of the test products wust not appear on any shipping or freight

invoices

Identify then as “Unidentified Consumer Test Products” —

Tho

\ded For Free Distribution""

The above products must be shipped to:

Taito Company, Ltd.
No. 30 Mori Building
2-2, 3 Chome
Toranomon, Minato-ku
Tokyo, Japan

Attn: Mr. K. Hayami

a
BS
S
B
Py
Sj
ey
I
Py",date development center work request judy kremer berry pittman hawkins esterle aulbach woertz g raphael j judd sponsler jee v hansberry acc tg montgomery f wilhelm shipment cigarettes unidentified product test international project japan please prepare necessary billing ship october _ following nm cigarettes sample storage room pack code cartons description bottom code ra lsf charcoal lark milds ks total cartons note names test products wust appear shipping freight invoices identify unidentified consumer test products tho ded free distribution products must shipped taito company ltd mori building chome toranomon minato ku tokyo japan attn mr k hayami bs b py sj ey py,invoice
D:\OCR\docs-sm\invoice\0000226471.jpg,invoice,"Fs r WFAA

permet

RECEIVED INVOICE PIE
AGG 29 1978
August 28, 19/8
MRD

OUR ORDEE

ue ‘ons, Ah

Brown & Williamson Tobacco Cor
1600'West Hill Street
Louisville, Kentucky
Attn: Sue-Pinleye

Pas

PHONE 502
267 6096.

MeDIk' INC.

ORIGINAL FORWARDED TO ALICE FOUST, GENERAL ACCOUNTING,
9/5/78 sw

ouantny DescRIPTiON

PRIC AMOUNT

1000 [ Each, 3 Test Ads B&W Extra (bleed)
Special urgent rin
Clamp E-M-78-2
Gold String/Now _E-M-78-3
Gold Watch E-M-78-4

als : | |
op ach Back-up Charges ig114.00
eared he retteray,
70-2593 si 18 |
Be PD 025 £4
tiSEAy Fo ws noice, No state wna sen |

a
a
f=!
ry
=
a
3",fs r wfaa permet received invoice pie agg august mrd ordee ue ons ah brown williamson tobacco cor west hill street louisville kentucky attn sue pinleye pas phone medik inc original forwarded alice foust general accounting sw ouantny description pric amount test ads b w extra bleed special urgent rin clamp e gold string _e gold watch e als op ach back charges ig eared retteray si pd tiseay fo ws noice state wna sen f ry,invoice
D:\OCR\docs-sm\invoice\0000227351.jpg,invoice,"LSE
ASI MARKET RESEARCH, INC.

02000,
LG

C

768 SUNSET BOULEVARD. LOS ANGLES. cA 900e6

1213) 676.500

\

CHARGE To: t eo? wvorce xo. 25768
as 7 gut ne
Brow & Williamson Tobacco Co. wv 6-16~7}
1600 W. Hill st. WRO-
Louisville, Kentucky 40201
TERMS: NET 10 days
Le deen! B.D. Lew iS
(ORIGINAL FORWARDED TO ALICE FOUST,
GENERAL ACCOUNTING, 7/5/78) SW.
SERBEAL ACO UMTT NG 7/5018) Sev
ASI PRINT TEST - RALEIGH LIGHTS PO529T
“Aro Wrestler"" 6320.00
""Telephone Book""* 6320.00
EBA hwo (oho Lo Tora _—_|s12640.00
SYS VO- B23 oO y
ODP PSF \
Goes FP !
B&W Project # 78-84 *
ff Ph-7249
/ L.A., PRil., Pite,, Miami, N.O., Omaha

a. 2

ADDRESS ALL CORRESPONDENCE TO LOS ANGELES, CALIFORNIA

vSPTS2029
s",lse asi market research inc lg c sunset boulevard los angles ca e charge eo wvorce xo gut ne brow williamson tobacco co wv w hill st wro louisville kentucky terms net days le deen b lew original forwarded alice foust general accounting sw serbeal aco umtt ng sev asi print test raleigh lights pot aro wrestler telephone book eba hwo oho lo tora _ _ sys vo b oo odp psf goes fp b w project ff ph l pril pite miami n omaha address correspondence los angeles california vspts,invoice
D:\OCR\docs-sm\invoice\0000333206.jpg,invoice,"an C

THE TIDEROCK CORPORATION

pare: Nov. 1, 1967

wvore # 18,

TO: BRON & HILLIAMSON TOBACCO CORPORATION

2600 WEST HILL STRERT
LOUISVILLE, Ky.

ATT: MR. JOU V. BLALOCK

duly 5

Aug. 29

Sept. 6

Sept. 7

Sept. 8

Sept. 12

Sept, 13

Sept. 13

U,S, Government Printing
Office Books

American Airlines plane ticket
for Rosser Reeves from Wash-
ington, D.C, to New York

Lunch at the Baroque with
Reginald Wells and Rosser

- Reeves

Lunch at the Baroque with
Rosser Reeves, Reginald Wells,
Anne Hetfield and Peter Landau
Lunch at the ‘oque with Rosser
Reeves, Arne Hetfield, Peter
Landax, and Dr. Politz re:
Tobacco Institute

Lunch with Pete andau and Katt
Clark, Newsweek's Medical Editor,
to discuss the tobacco press
image

Lunch at the Baroque with Ed Miller
and Dr. Blum re: tobacco research
New York Fublic Library -

9/13 Xerox copies various

magazine articles $38.40

9/19 Xerox copies New York

Times
. 76:35
Less: $95 da
Bee IH 25.00
(This deposit charge hes been trons—
ferred to the Tobacco Institute)

8.40
47.22
2.25

43.95,
40.50

17.70

43.20

53.35

STSETO069

|",c tiderock corporation pare nov wvore bron hilliamson tobacco corporation west hill strert louisville ky att mr jou v blalock duly aug sept sept sept sept sept sept u government printing office books american airlines plane ticket rosser reeves wash ington c new york lunch baroque reginald wells rosser reeves lunch baroque rosser reeves reginald wells anne hetfield peter landau lunch oque rosser reeves arne hetfield peter landax dr politz tobacco institute lunch pete andau katt clark newsweek medical editor discuss tobacco press image lunch baroque ed miller dr blum tobacco research new york fublic library xerox copies various magazine articles xerox copies new york times less da bee ih deposit charge hes trons ferred tobacco institute stseto,invoice
D:\OCR\docs-sm\invoice\0000542607.jpg,invoice,"Ted Bates a company. inc /edvertisng

‘%e_nooat a vaziecs ronicoo exer gue 30 192

NRT mucin
Settee exams

Ritioate A

EXPony saan
TRANSIT

etn cast of ay. we

et bon ny 23, 1972

BUDGET#?Y) Zt,

>Licare ‘

rarer ee Fi moe we ass ae",ted bates company inc edvertisng e_nooat vaziecs ronicoo exer gue nrt mucin settee exams ritioate expony saan transit etn cast ay et bon ny budget zt licare rarer ee fi moe ass ae,invoice
D:\OCR\docs-sm\invoice\0001136788.jpg,invoice,"‘igi Bates 8. company. inc /advertising

eCtENT eM BROWN & MILLTAMSON TOBACCO CORP

ouer KL KOO

neta PY BRINE PROD
ee.’ besezz BLACK/HESPAKIC, SHOOT
EStamare” wong ee KoMTSE =D 2RL_ PRINT/OUTDODE,

OsT EASED ON A_SODRY |

PHOTOGRAPHS, OVER 105 EACH AT $14500.00.~
Woe ose #24500-00/040. W/E 34

PROOUCTION ESTIMATE REPORT ACK.

BILLING TvPE
Run on WAVO/79 AT 16056 PAGE 2
Brtcine 16004 HILL ST

Wetos~ INCLUDES 10 ADORESS LOUISVILLE KY 40201

$750,00/04Y MODEL

WORK CODE

06 PHOTOGRPHRS FEE|
34 MODEL FEE
25 MODEL AGNcY FEE:
38 PROP/SET CoNSTR|
WAROROE/STYLST
WARORBE/CLOTHES
Harr STYLIST
FIL EXPENSE
muscentaneous |
Neve SALES TAK
TELEPHONE /MESGR
TRAVEL SuBSTST

CCOMAISSI08

RATE

zero
zero
zeR0
2ero
ero
2eR0
zero
zen0
2eno
reno

onroENat
ESTIMATE

12500,00
3750.00
375.00
2700.00
1500.00
2900.00
1000.00
2850.00
2960.00
200.00

700.00

3300.00
4960.00
1901.00
512,00
‘700.00

TOTALS «WET?
COMMISSIONS

TOTALS L6ROSS?

31535.00

31535.00

3690600

36908.00

w/c 64"" PHOTD ASSISTANTS ~ 51,4804
Marist 1y500-00) A/C 83-tcAnsy TRU
Revel ~ REVISED TOUREFLECT ACTUAL. Gi

‘GOvE_MURGER 64 ARE~ MAKEUP. ART

ExeENSESS

ob-o9o/

8 Cf eq
i

lo AND. MAKE-UP
ex RENTAL ETC.)
ast br SHOOT.

jST» AND GENERAL MISCELLANEOUS |

Gfa79
Wey

chs OF INCREAS
werk ire
wo

Meee 664079925",igi bates company inc advertising ectent em brown milltamson tobacco corp ouer kl koo neta py brine prod ee besezz black hespakic shoot estamare wong ee komtse rl_ print outdode ost eased a_sodry photographs woe ose w e proouction estimate report ack billing tvpe run wavo page brtcine hill st wetos includes adoress louisville ky model work code photogrphrs fee model fee model agncy fee prop set constr waroroe stylst warorbe clothes harr stylist fil expense muscentaneous neve sales tak telephone mesgr travel substst ccomaissi rate zero zero zer ero ero er zero zen eno reno onroenat estimate totals wet commissions totals lross w c photd assistants marist c tcansy tru revel revised toureflect actual gi gove_murger makeup art exeensess ob oo cf eq lo make ex rental etc ast br shoot jst general miscellaneous gfa wey chs increas werk ire wo meee,invoice
D:\OCR\docs-sm\invoice\0001219743.jpg,invoice,"AD STAT COMPAN.
666 FIFTH AVE,
NEW YORK. N. ¥. 10019

user 26080",ad stat compan fifth ave new york n user,invoice
D:\OCR\docs-sm\invoice\0001219844.jpg,invoice,"‘Ted Bates newyor’ ‘advertising
BROWN & WILLIAMSON TOBACCO CORPORATION

Lal PRINT PRODUCTION ESTIMATE

eva wa 2, 3272
are"" HMMRARY 76, 1272

suexcr fest eA = ew cove #

mrorocnamenannst ARGS SOMES IT

Revtoonsba’ Fee
‘Sock Pretoysniny
Pack Provopsn
Une Phetopronny
Mode! Fee
NodelAgercy Fo
Location Sutin Fee
Property Please Fee
Propet Contraction
Wardrobe (Syst
Wr (the coe)
Hale sive,
Dye Teter
Retouching
Serene

7176031465",ted bates newyor advertising brown williamson tobacco corporation lal print production estimate eva wa hmmrary suexcr fest ea ew cove mrorocnamenannst args somes revtoonsba fee sock pretoysniny pack provopsn une phetopronny mode fee nodelagercy fo location sutin fee property please fee propet contraction wardrobe syst wr coe hale sive dye teter retouching serene,invoice
D:\OCR\docs-sm\invoice\0001233629.jpg,invoice,"‘Ted Bes8 8. company, inc adv *tising

erent pRoDWEeTIUN
Ye ohuien 6 PELL Fansam

Dion eGie INES 1874 ADIETIONAL eLLLINS

SST RN Bra Sk

riveree

av/4ou 0. ~ 4250
IWOTEE CAE = 08/50/1
cre WE = v9/os
TWVOILE NO. = 09834

pace a

Fo Wai IW 6-619

wevite car foun Setcuaste

Cowrrss 1061

Ease oTScoUNT
Itneneo 1 PAL
lor"" ve oare.

amas a
ora 6

rats be

%

aa

Tora cru

Tak Cog
Qrodstc.

(css casw cise",ted bes company inc adv tising erent prodweetiun ye ohuien pell fansam dion egie ines adietional elllins sst rn bra sk riveree av ou iwotee cae cre v os twvoile pace fo wai iw wevite car foun setcuaste cowrrss ease otscount itneneo pal lor oare amas ora rats aa tora cru tak cog qrodstc css casw cise,invoice
